**************************************************
CONSULTA
**************************************************
DATOS GENERADOS POR EL EXPLORADOR DE ENERGIAS RENOVABLES
Fuente:Ministerio de Energia - Departamento de Geofisica Universidad de Chile
""
Hora de creacion del archivo:,2024-06-03 19:57:20.726977
""
Tipo de consulta:,SERIES
Periodo Extraidos:,2010-01-01 00:00:00,2010-12-31 23:00:00
Intervalo:,month
Tipical Meteorological Year:,SI,Se ha generado datos para un agno tipico (nominalmente 1990)
""
Numero de sitios solicitados:,1
Numero de variables solicitadas:,1
**************************************************
SITIOS
**************************************************
Nombre,Longitud,Latitud,Altura Terreno (m)
,-72.17961257340872,-37.27485414828188,227.0
**************************************************
VARIABLES
**************************************************
Aero
Nombre,Potencia Aerogenerador
Unidades,kW
Estadistica,mean
density_correction,True
recon,on
hgt,100
turbine,Siemens SWT-2.3-101
efficiency_factor,1
""
**************************************************
DATOS
**************************************************
Sitio:,
Variable:,Aero
""
FECHA
2010-01-01 00:00:00,1354.8883
2010-02-01 00:00:00,896.95374
2010-03-01 00:00:00,694.62738
2010-04-01 00:00:00,792.71667
2010-05-01 00:00:00,491.09708
2010-06-01 00:00:00,1102.79762
2010-07-01 00:00:00,1138.73788
2010-08-01 00:00:00,881.30516
2010-09-01 00:00:00,496.18501
2010-10-01 00:00:00,615.62302
2010-11-01 00:00:00,1066.20749
2010-12-01 00:00:00,929.09957
