**************************************************
CONSULTA
**************************************************
DATOS GENERADOS POR EL EXPLORADOR DE ENERGIAS RENOVABLES
Fuente:Ministerio de Energia - Departamento de Geofisica Universidad de Chile
""
Hora de creacion del archivo:,2024-06-03 19:54:58.952245
""
Tipo de consulta:,SERIES
Periodo Extraidos:,2010-01-01 00:00:00,2010-12-31 23:00:00
Intervalo:,month
Tipical Meteorological Year:,SI,Se ha generado datos para un agno tipico (nominalmente 1990)
""
Numero de sitios solicitados:,1
Numero de variables solicitadas:,1
**************************************************
SITIOS
**************************************************
Nombre,Longitud,Latitud,Altura Terreno (m)
,-70.2594992665712,-27.906175065662865,1596.0
**************************************************
VARIABLES
**************************************************
Aero
Nombre,Potencia Aerogenerador
Unidades,kW
Estadistica,mean
density_correction,True
recon,on
hgt,100
turbine,Siemens SWT-2.3-101
efficiency_factor,1
""
**************************************************
DATOS
**************************************************
Sitio:,
Variable:,Aero
""
FECHA
2010-01-01 00:00:00,186.45919
2010-02-01 00:00:00,190.02487
2010-03-01 00:00:00,157.84738
2010-04-01 00:00:00,227.74321
2010-05-01 00:00:00,364.53636
2010-06-01 00:00:00,461.5767
2010-07-01 00:00:00,475.06842
2010-08-01 00:00:00,417.44454
2010-09-01 00:00:00,363.5631
2010-10-01 00:00:00,274.927
2010-11-01 00:00:00,224.93928
2010-12-01 00:00:00,198.19891
