Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,320000.0
1,1,0,320000.0
2,1,0,109000.0
5,1,1,320000.0
6,1,1,320000.0
7,1,1,109000.0
9,1,2,320000.0
11,1,2,109000.0
12,1,2,320000.0
13,1,3,109000.0
14,1,3,320000.0
15,1,3,320000.0
19,1,4,320000.0
21,1,4,109000.0
22,1,4,320000.0
23,1,5,109000.0
24,1,5,320000.0
26,1,5,320000.0
27,1,6,212672.0
29,1,6,320000.0
31,2,6,216328.0
32,2,7,252062.0
33,2,7,182177.0
35,2,7,101446.0
36,2,7,213315.0
37,1,8,254000.0
38,2,8,139674.0
39,2,8,187733.0
40,2,8,167593.0
41,2,9,279279.0
42,2,9,170906.0
43,1,9,164000.0
45,2,9,70583.0
46,1,9,64232.0
46,1,10,71856.0
47,2,10,151672.0
48,2,10,241315.0
49,2,10,122351.0
50,2,10,161806.0
