Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,248000.0
1,1,0,268000.0
2,1,0,268000.0
4,1,1,268000.0
5,1,1,268000.0
7,1,1,248000.0
9,1,2,268000.0
10,1,2,248000.0
12,1,2,268000.0
13,1,3,248000.0
15,1,3,268000.0
16,1,3,268000.0
19,1,4,268000.0
20,1,4,268000.0
21,1,4,248000.0
23,1,5,268000.0
24,1,5,248000.0
26,1,5,268000.0
27,1,6,248000.0
28,1,6,268000.0
29,1,6,268000.0
30,1,8,132747.0
33,2,7,187872.0
34,2,7,134082.0
35,2,7,228933.0
36,2,7,185851.0
37,1,7,47262.0
37,1,8,194738.0
38,2,8,165810.0
39,2,8,95713.0
40,2,8,194992.0
41,2,9,15164.0
42,2,9,254067.0
43,1,9,165000.0
44,2,9,114170.0
45,2,9,235599.0
47,2,10,177129.0
48,2,10,142303.0
49,2,10,238250.0
50,2,10,226318.0
