Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,28000.0
1,1,0,245000.0
2,1,0,245000.0
3,1,0,245000.0
4,1,1,28000.0
5,1,1,245000.0
6,1,1,245000.0
7,1,1,245000.0
9,1,2,28000.0
10,1,2,245000.0
11,1,2,245000.0
12,1,2,245000.0
13,1,3,28000.0
14,1,3,245000.0
15,1,3,245000.0
16,1,3,245000.0
19,1,4,28000.0
20,1,4,245000.0
21,1,4,245000.0
22,1,4,245000.0
23,1,5,245000.0
24,1,5,28000.0
25,1,5,245000.0
26,1,5,245000.0
27,1,6,85872.0
28,1,6,245000.0
29,1,6,245000.0
30,1,8,245000.0
31,2,6,187128.0
32,2,7,90077.0
33,2,7,226609.0
34,2,7,277837.0
35,2,7,39232.0
36,2,7,129245.0
37,1,8,122000.0
38,2,8,110841.0
39,2,8,108139.0
39,2,10,134184.0
40,2,8,177020.0
41,2,9,194169.0
42,2,9,151678.0
43,1,9,79000.0
44,2,9,155793.0
45,2,9,83814.0
46,1,10,79000.0
47,2,9,98546.0
47,2,10,85197.0
48,2,10,191330.0
49,2,10,205487.0
50,2,10,67802.0
