Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,210000.0
1,1,0,287000.0
2,1,0,287000.0
4,1,1,287000.0
6,1,1,287000.0
7,1,1,210000.0
10,1,2,287000.0
11,1,2,287000.0
12,1,2,210000.0
13,1,3,210000.0
15,1,3,287000.0
16,1,3,287000.0
19,1,4,287000.0
20,1,4,287000.0
21,1,4,210000.0
23,1,5,287000.0
24,1,5,210000.0
26,1,5,287000.0
27,1,6,287000.0
28,1,6,287000.0
29,1,6,210000.0
30,1,8,287000.0
32,2,7,270655.0
33,2,7,254946.0
36,2,7,258399.0
37,1,8,81626.0
38,2,8,195280.0
39,2,8,220094.0
41,2,9,205740.0
44,2,9,227123.0
45,2,9,106527.0
46,1,10,173411.0
47,2,9,244610.0
48,2,10,276689.0
49,2,10,219552.0
50,2,10,114348.0
