Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,321000.0
1,1,0,321000.0
2,1,0,166500.0
4,1,1,166500.0
5,1,1,321000.0
6,1,1,321000.0
10,1,2,321000.0
11,1,2,321000.0
12,1,2,166500.0
14,1,3,321000.0
15,1,3,321000.0
16,1,3,166500.0
19,1,4,166500.0
20,1,4,321000.0
21,1,4,321000.0
24,1,5,166500.0
25,1,5,321000.0
26,1,5,321000.0
28,1,6,321000.0
29,1,6,290880.0
30,1,8,302872.0
31,2,6,196620.0
32,2,7,146747.0
33,2,7,123170.0
34,2,7,269869.0
35,2,7,127924.0
36,2,7,140790.0
37,1,8,301000.0
38,2,8,106857.0
39,2,10,228362.0
40,2,8,97771.0
41,2,9,133760.0
42,2,9,106484.0
43,1,9,210000.0
44,2,9,131133.0
45,2,9,142879.0
46,1,9,3808.0
46,1,10,206192.0
47,2,9,80436.0
48,2,10,186063.0
49,2,10,97052.0
50,2,10,90831.0
