Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,258000.0
1,1,0,258000.0
3,1,0,247000.0
4,1,1,258000.0
5,1,1,258000.0
7,1,1,247000.0
9,1,2,258000.0
10,1,2,258000.0
12,1,2,247000.0
14,1,3,258000.0
15,1,3,258000.0
16,1,3,247000.0
19,1,4,258000.0
20,1,4,258000.0
21,1,4,247000.0
23,1,5,258000.0
24,1,5,258000.0
25,1,5,247000.0
27,1,6,44705.0
28,1,6,258000.0
29,1,6,258000.0
30,1,8,184273.0
31,2,6,202295.0
32,2,7,71738.0
33,2,7,144885.0
34,2,7,92075.0
35,2,7,231065.0
36,2,7,223237.0
37,1,8,125000.0
38,2,8,225912.0
39,2,10,165057.0
40,2,8,227815.0
41,2,9,69965.0
42,2,9,283626.0
43,1,9,81000.0
44,2,9,124501.0
45,2,9,147138.0
46,1,9,56770.0
46,1,10,24230.0
47,2,10,140364.0
48,2,10,227377.0
49,2,10,80293.0
50,2,10,125679.0
