Ubicación,Tipo Energía,Subestación,Energía (MWh)
1,1,0,51200.0
2,1,0,51200.0
3,1,0,51200.0
4,2,0,13300.0
5,1,0,51200.0
6,1,0,51200.0
7,1,0,51200.0
8,1,0,51200.0
9,2,0,13300.0
10,1,0,51200.0
11,1,0,51200.0
12,1,0,51200.0
13,1,0,51200.0
15,1,0,51200.0
16,1,0,51200.0
17,1,0,51200.0
18,1,0,13700.0
28,2,0,13300.0
61,1,1,51200.0
86,1,1,51200.0
87,1,1,51200.0
88,1,1,51200.0
90,1,1,51200.0
91,1,1,51200.0
92,1,1,51200.0
93,1,1,51200.0
95,1,1,51200.0
96,1,1,51200.0
97,1,1,51200.0
98,1,1,51200.0
100,1,1,51200.0
101,1,1,51200.0
102,1,1,51200.0
103,1,1,2400.0
189,2,2,42000.0
190,2,2,42000.0
192,2,2,42000.0
193,1,2,51200.0
195,1,2,51200.0
196,1,2,51200.0
197,2,2,42000.0
198,1,2,51200.0
199,1,2,51200.0
200,1,2,51200.0
201,1,2,51200.0
202,2,2,42000.0
203,1,2,51200.0
204,1,2,24800.0
207,2,2,42000.0
209,2,2,42000.0
210,2,2,42000.0
291,1,3,51200.0
292,1,3,51200.0
293,1,3,51200.0
294,1,3,51200.0
298,2,3,61500.0
299,1,3,51200.0
300,2,3,61500.0
301,2,3,12400.0
302,2,3,61500.0
303,2,3,61500.0
304,1,3,51200.0
307,1,3,51200.0
308,1,3,51200.0
309,1,3,51200.0
310,2,3,51200.0
389,1,4,51200.0
390,1,4,51200.0
391,1,4,51200.0
392,1,4,51200.0
393,2,4,22400.0
395,1,4,51200.0
396,1,4,51200.0
397,1,4,51200.0
398,2,4,22400.0
399,1,4,51200.0
400,1,4,51200.0
401,1,4,51200.0
402,1,4,51200.0
403,2,4,22400.0
404,1,4,51200.0
405,1,4,51200.0
406,1,4,15200.0
408,2,4,22400.0
487,2,5,22400.0
488,1,5,51200.0
489,1,5,51200.0
490,1,5,51200.0
491,1,5,51200.0
492,2,5,22400.0
493,1,5,51200.0
494,2,5,22400.0
495,1,5,51200.0
496,1,5,51200.0
497,1,5,51200.0
498,1,5,51200.0
499,2,5,22400.0
500,1,5,51200.0
501,1,5,51200.0
502,1,5,51200.0
503,1,5,51200.0
505,1,5,15200.0
589,1,6,51200.0
590,1,6,51200.0
591,2,6,9200.0
592,1,6,51200.0
593,1,6,51200.0
594,1,6,51200.0
595,1,6,51200.0
596,2,6,9200.0
597,1,6,51200.0
598,1,6,51200.0
599,1,6,51200.0
600,1,6,51200.0
601,2,6,9200.0
602,2,6,9200.0
603,2,6,9200.0
604,1,6,40640.0
605,2,6,9200.0
606,1,6,40640.0
607,1,6,40640.0
608,1,6,40640.0
609,1,6,40640.0
675,1,7,40640.0
677,1,7,40640.0
678,1,7,40640.0
679,1,7,40640.0
681,2,7,9200.0
682,1,7,40640.0
683,1,7,40640.0
684,2,7,9200.0
685,1,7,40640.0
686,1,7,40640.0
688,2,7,9200.0
689,1,7,40640.0
690,2,7,9200.0
691,1,7,40640.0
692,1,7,40640.0
694,1,7,40640.0
695,2,7,9200.0
696,1,7,40640.0
697,2,7,9200.0
698,1,7,40640.0
699,1,7,40640.0
701,1,7,40640.0
702,2,7,9200.0
703,1,7,18960.0
705,2,7,9200.0
710,2,7,9200.0
714,2,7,9200.0
719,2,7,9200.0
791,2,8,106600.0
792,2,8,106600.0
793,2,8,106600.0
794,2,8,106600.0
795,1,8,40640.0
796,2,8,106600.0
797,2,8,106600.0
798,2,8,90160.0
893,2,9,88200.0
894,2,9,88200.0
895,2,9,88200.0
896,2,9,88200.0
898,2,9,88200.0
899,2,9,88200.0
900,2,9,88200.0
901,2,9,88200.0
903,2,9,64800.0
985,2,10,88200.0
987,2,10,88200.0
988,2,10,88200.0
989,2,10,88200.0
990,2,10,88200.0
992,2,10,88200.0
993,2,10,88200.0
994,2,10,88200.0
995,2,10,64800.0
