Ubicación,Tipo Energía,Subestación,Energía (MWh)
1,1,0,45920.0
2,1,0,45920.0
3,1,0,45920.0
4,2,0,13000.0
5,1,0,45920.0
6,1,0,45920.0
7,1,0,45920.0
8,1,0,45920.0
9,2,0,13000.0
10,1,0,45920.0
11,1,0,45920.0
12,1,0,45920.0
13,1,0,45920.0
15,1,0,45920.0
16,1,0,45920.0
17,1,0,45920.0
18,1,0,45920.0
20,1,0,45920.0
21,1,0,32680.0
28,2,0,13000.0
61,1,1,45920.0
86,1,1,45920.0
87,1,1,45920.0
88,1,1,45920.0
90,1,1,45920.0
91,1,1,45920.0
92,1,1,45920.0
93,1,1,45920.0
95,1,1,45920.0
96,1,1,45920.0
97,1,1,45920.0
98,1,1,45920.0
100,1,1,45920.0
101,1,1,45920.0
102,1,1,45920.0
103,1,1,45920.0
105,1,1,45920.0
106,1,1,25760.0
189,2,2,39600.0
190,2,2,39600.0
192,2,2,39600.0
193,1,2,45920.0
195,1,2,45920.0
196,1,2,45920.0
197,2,2,39600.0
198,1,2,45920.0
199,1,2,45920.0
200,1,2,45920.0
201,1,2,45920.0
202,2,2,39600.0
203,1,2,45920.0
204,1,2,45920.0
205,1,2,45920.0
206,1,2,30400.0
207,2,2,39600.0
209,2,2,39600.0
210,2,2,39600.0
288,2,3,40300.0
291,1,3,45920.0
292,1,3,45920.0
293,1,3,45920.0
294,1,3,45920.0
295,2,3,40300.0
296,2,3,40300.0
297,2,3,40300.0
298,2,3,40300.0
299,1,3,45920.0
300,2,3,40300.0
301,2,3,40300.0
302,2,3,40300.0
303,2,3,40300.0
304,1,3,45920.0
305,2,3,40300.0
306,2,3,40300.0
307,1,3,45920.0
308,1,3,41660.0
389,1,4,45920.0
390,1,4,45920.0
391,1,4,45920.0
392,1,4,45920.0
393,2,4,18600.0
394,1,4,43200.0
395,1,4,45920.0
396,1,4,45920.0
397,1,4,45920.0
398,2,4,18600.0
399,1,4,45920.0
400,1,4,45920.0
401,1,4,45920.0
402,1,4,45920.0
403,2,4,18600.0
404,1,4,45920.0
405,1,4,45920.0
406,1,4,45920.0
407,1,4,45920.0
408,2,4,18600.0
487,2,5,18600.0
488,1,5,45920.0
489,1,5,45920.0
490,1,5,45920.0
491,1,5,45920.0
492,2,5,18600.0
493,1,5,45920.0
494,2,5,18600.0
495,1,5,45920.0
496,1,5,45920.0
497,1,5,45920.0
498,1,5,45920.0
499,2,5,18600.0
500,1,5,45920.0
501,1,5,45920.0
502,1,5,45920.0
503,1,5,45920.0
505,1,5,45920.0
506,1,5,45920.0
507,1,5,43200.0
580,1,6,36280.0
582,1,6,45920.0
583,1,6,45920.0
584,1,6,45920.0
585,1,6,45920.0
587,1,6,45920.0
588,1,6,45920.0
589,1,6,45920.0
590,1,6,45920.0
591,2,6,5900.0
592,1,6,45920.0
593,1,6,45920.0
594,1,6,45920.0
595,1,6,45920.0
596,2,6,5900.0
597,1,6,45920.0
598,1,6,45920.0
599,1,6,45920.0
600,1,6,45920.0
601,2,6,5900.0
602,2,6,5900.0
603,2,6,5900.0
605,2,6,5900.0
675,1,7,47840.0
677,1,7,23900.0
678,1,7,47840.0
679,1,7,47840.0
681,2,7,5900.0
682,1,7,47840.0
683,1,7,47840.0
684,2,7,5900.0
685,1,7,47840.0
686,1,7,47840.0
688,2,7,5900.0
689,1,7,47840.0
690,2,7,5900.0
691,1,7,47840.0
692,1,7,47840.0
694,1,7,47840.0
695,2,7,5900.0
696,1,7,47840.0
697,2,7,5900.0
698,1,7,47840.0
699,1,7,47840.0
701,1,7,47840.0
702,2,7,5900.0
705,2,7,5900.0
710,2,7,5900.0
714,2,7,5900.0
719,2,7,5900.0
791,2,8,135400.0
792,2,8,135400.0
793,2,8,135400.0
794,2,8,135400.0
795,1,8,47840.0
796,2,8,135400.0
797,2,8,81560.0
893,2,9,83200.0
894,2,9,83200.0
895,2,9,83200.0
896,2,9,83200.0
898,2,9,83200.0
899,2,9,83200.0
900,2,9,83200.0
901,2,9,83200.0
903,2,9,83200.0
904,2,9,57600.0
985,2,10,83200.0
987,2,10,83200.0
988,2,10,83200.0
989,2,10,83200.0
990,2,10,83200.0
992,2,10,83200.0
993,2,10,83200.0
994,2,10,83200.0
995,2,10,83200.0
997,2,10,57600.0
