Ubicación,Tipo Energía,Subestación,Energía (MWh)
1,1,0,268000.0
2,1,0,253315.0
3,2,0,262685.0
4,1,1,268000.0
5,1,1,268000.0
6,1,1,13348.0
7,2,1,234652.0
8,1,2,268000.0
9,1,2,248000.0
11,1,2,268000.0
13,1,3,268000.0
15,1,3,248000.0
16,1,3,268000.0
19,1,4,268000.0
20,1,4,268000.0
21,1,4,53079.0
22,2,4,194921.0
23,1,5,268000.0
24,1,5,268000.0
25,1,5,170610.0
26,2,5,77390.0
27,1,6,248000.0
28,1,6,268000.0
29,1,6,268000.0
30,1,7,268000.0
32,1,7,132328.0
33,2,7,285757.0
34,2,7,97915.0
35,2,8,114200.0
36,1,8,219481.0
37,2,8,202160.0
39,2,8,83159.0
40,2,9,70725.0
41,1,8,165000.0
42,2,9,104048.0
43,1,9,165000.0
44,2,9,240950.0
45,2,9,193291.0
46,2,9,9986.0
46,2,10,246593.0
47,1,10,77725.0
48,2,10,194296.0
49,2,10,181227.0
50,2,10,84159.0
