Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,321000.0
1,1,0,166500.0
2,1,0,321000.0
4,1,1,321000.0
5,1,1,166500.0
6,1,1,321000.0
8,1,2,321000.0
9,1,2,166500.0
11,1,2,321000.0
14,1,3,321000.0
15,1,3,321000.0
16,1,3,166500.0
20,1,4,321000.0
21,1,4,321000.0
22,2,4,166500.0
23,1,5,232955.0
25,1,5,321000.0
26,2,5,254545.0
27,1,6,166500.0
28,1,6,321000.0
29,1,6,321000.0
30,1,7,321000.0
32,1,7,46292.0
33,2,7,109186.0
34,2,7,221544.0
35,2,7,110478.0
35,2,8,37690.0
36,1,8,301000.0
37,2,8,84030.0
39,2,8,175780.0
40,2,9,94674.0
41,1,8,210000.0
42,2,9,150562.0
43,1,9,210000.0
44,2,9,111537.0
45,2,9,63053.0
46,2,9,178674.0
46,2,10,7402.0
47,1,10,190859.0
48,2,10,251175.0
49,2,10,146634.0
50,2,10,212430.0
