Ubicación,Tipo Energía,Subestación,Energía (MWh)
1,1,0,38240.0
2,1,0,38240.0
3,1,0,38240.0
4,2,0,13100.0
5,1,0,38240.0
6,1,0,38240.0
7,1,0,38240.0
8,1,0,38240.0
9,2,0,13100.0
10,1,0,38240.0
11,1,0,38240.0
12,1,0,38240.0
13,1,0,38240.0
15,1,0,38240.0
16,1,0,38240.0
17,1,0,38240.0
18,1,0,38240.0
20,1,0,38240.0
21,1,0,38240.0
22,1,0,38240.0
23,1,0,38240.0
25,1,0,38240.0
26,1,0,23900.0
28,2,0,13100.0
61,1,1,38240.0
86,1,1,38240.0
87,1,1,38240.0
88,1,1,38240.0
90,1,1,38240.0
91,1,1,38240.0
92,1,1,38240.0
93,1,1,38240.0
95,1,1,38240.0
96,1,1,38240.0
97,1,1,38240.0
98,1,1,38240.0
100,1,1,38240.0
101,1,1,38240.0
102,1,1,38240.0
103,1,1,38240.0
105,1,1,38240.0
106,1,1,38240.0
107,1,1,38240.0
108,1,1,38240.0
110,1,1,38240.0
111,1,1,24960.0
161,1,2,38240.0
189,2,2,35000.0
190,2,2,35000.0
191,1,2,38240.0
192,2,2,35000.0
193,1,2,38240.0
194,1,2,38240.0
195,1,2,38240.0
196,1,2,38240.0
197,2,2,35000.0
198,1,2,38240.0
199,1,2,38240.0
200,1,2,38240.0
201,1,2,38240.0
202,2,2,35000.0
203,1,2,38240.0
204,1,2,38240.0
205,1,2,38240.0
206,1,2,38240.0
207,2,2,35000.0
208,1,2,38240.0
209,2,2,35000.0
210,2,2,9400.0
288,2,3,42100.0
291,1,3,38240.0
292,1,3,38240.0
293,1,3,38240.0
294,1,3,38240.0
295,2,3,42100.0
296,2,3,42100.0
297,2,3,42100.0
298,2,3,42100.0
299,1,3,38240.0
300,2,3,42100.0
301,2,3,42100.0
302,2,3,42100.0
303,2,3,42100.0
304,1,3,38240.0
305,2,3,42100.0
306,2,3,42100.0
307,1,3,38240.0
308,1,3,38240.0
309,1,3,38240.0
310,2,3,20740.0
389,1,4,38240.0
390,1,4,38240.0
391,1,4,38240.0
392,1,4,38240.0
393,2,4,19000.0
394,1,4,38240.0
395,1,4,38240.0
396,1,4,38240.0
397,1,4,38240.0
398,2,4,19000.0
399,1,4,38240.0
400,1,4,38240.0
401,1,4,38240.0
402,1,4,38240.0
403,2,4,19000.0
404,1,4,38240.0
405,1,4,38240.0
406,1,4,38240.0
407,1,4,38240.0
408,2,4,19000.0
409,1,4,38240.0
410,1,4,38240.0
411,1,4,38240.0
412,1,4,25440.0
487,2,5,19000.0
488,1,5,38240.0
489,1,5,38240.0
490,1,5,38240.0
491,1,5,38240.0
492,2,5,19000.0
493,1,5,38240.0
494,2,5,19000.0
495,1,5,38240.0
496,1,5,38240.0
497,1,5,38240.0
498,1,5,38240.0
499,2,5,19000.0
500,1,5,38240.0
501,1,5,38240.0
502,1,5,38240.0
503,1,5,38240.0
505,1,5,38240.0
506,1,5,38240.0
507,1,5,38240.0
508,1,5,38240.0
510,1,5,38240.0
511,1,5,38240.0
512,1,5,25440.0
579,1,6,38240.0
580,1,6,38240.0
582,1,6,38240.0
583,1,6,38240.0
584,1,6,38240.0
585,1,6,38240.0
587,1,6,38240.0
588,1,6,38240.0
589,1,6,38240.0
590,1,6,38240.0
591,2,6,5100.0
592,1,6,38240.0
593,1,6,38240.0
594,1,6,38240.0
595,1,6,38240.0
596,2,6,5100.0
597,1,6,38240.0
598,1,6,38240.0
599,1,6,38240.0
600,1,6,38240.0
601,2,6,5100.0
602,2,6,5100.0
603,2,6,5100.0
604,1,6,40160.0
605,2,6,5100.0
606,1,6,40160.0
607,1,6,28760.0
675,1,7,40160.0
677,1,7,40160.0
678,1,7,40160.0
679,1,7,40160.0
681,2,7,5100.0
682,1,7,40160.0
683,1,7,40160.0
684,2,7,5100.0
685,1,7,40160.0
686,1,7,40160.0
688,2,7,5100.0
689,1,7,40160.0
690,2,7,5100.0
691,1,7,40160.0
692,1,7,40160.0
694,1,7,40160.0
695,2,7,5100.0
696,1,7,40160.0
697,2,7,5100.0
698,1,7,40160.0
699,1,7,40160.0
700,1,7,40160.0
701,1,7,40160.0
702,2,7,5100.0
703,1,7,40160.0
704,1,7,40160.0
705,2,7,5100.0
706,1,7,8860.0
710,2,7,5100.0
714,2,7,5100.0
719,2,7,5100.0
791,2,8,89600.0
792,2,8,89600.0
793,2,8,89600.0
794,2,8,89600.0
795,1,8,40160.0
796,2,8,89600.0
797,2,8,89600.0
798,2,8,89600.0
799,2,8,89600.0
801,2,8,71040.0
893,2,9,152500.0
894,2,9,152500.0
895,2,9,152500.0
896,2,9,152500.0
898,2,9,152500.0
899,2,9,65500.0
985,2,10,152500.0
987,2,10,152500.0
988,2,10,152500.0
989,2,10,152500.0
990,2,10,152500.0
992,2,10,65500.0
