Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,239000.0
1,1,0,239000.0
2,1,0,239000.0
3,2,0,88000.0
4,1,1,239000.0
5,1,1,88000.0
6,1,1,239000.0
7,1,1,239000.0
9,1,2,88000.0
10,1,2,239000.0
11,1,2,239000.0
12,1,2,239000.0
13,1,3,239000.0
14,1,3,239000.0
15,1,3,239000.0
16,1,3,88000.0
19,1,4,239000.0
20,2,4,88000.0
21,1,4,239000.0
22,1,4,239000.0
23,1,5,136252.0
24,1,5,239000.0
25,2,5,190748.0
26,1,5,239000.0
27,1,6,212783.0
28,1,6,239000.0
29,1,6,239000.0
30,1,8,239000.0
31,2,6,114217.0
32,2,7,91131.0
33,2,7,77576.0
34,2,7,200557.0
35,2,7,167872.0
36,2,7,189946.0
37,1,8,251000.0
38,2,7,77918.0
38,2,8,142714.0
39,2,8,68495.0
39,2,10,77999.0
40,2,8,103791.0
41,2,9,74106.0
42,2,9,51478.0
43,1,9,190000.0
44,2,9,251289.0
45,2,9,238127.0
46,1,10,133463.0
47,2,10,136550.0
48,2,10,150491.0
49,2,10,98296.0
50,2,10,208201.0
