Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,275000.0
1,1,0,227000.0
2,1,0,275000.0
4,1,1,275000.0
5,1,1,162051.0
6,1,1,275000.0
7,2,1,64949.0
9,1,2,275000.0
10,1,2,275000.0
11,1,2,227000.0
14,1,3,275000.0
15,1,3,227000.0
16,1,3,275000.0
20,1,4,246287.0
21,1,4,275000.0
22,2,4,255713.0
23,1,5,275000.0
24,1,5,275000.0
25,1,5,227000.0
28,1,6,227000.0
29,1,6,275000.0
30,1,6,275000.0
31,2,7,125499.0
32,2,7,95881.0
33,2,7,156142.0
34,2,7,74411.0
35,2,7,273263.0
36,2,8,147301.0
37,2,7,51804.0
37,2,8,73427.0
38,2,8,290728.0
39,1,8,148000.0
40,2,8,117544.0
40,2,9,117938.0
42,2,9,129388.0
43,2,9,278982.0
44,2,9,166613.0
45,2,10,93651.0
46,2,9,84079.0
46,2,10,86891.0
47,2,10,68311.0
48,2,10,60886.0
49,2,10,173337.0
50,2,10,293924.0
