Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,321000.0
1,1,0,166500.0
2,1,0,321000.0
4,1,1,321000.0
5,1,1,229582.0
7,2,1,257918.0
8,1,2,321000.0
10,1,2,321000.0
11,1,2,166500.0
14,1,3,321000.0
15,1,3,166500.0
16,1,3,321000.0
19,1,4,321000.0
20,1,4,321000.0
21,1,4,166500.0
24,1,5,166500.0
25,1,5,321000.0
26,1,5,321000.0
28,1,6,321000.0
29,1,6,321000.0
30,1,6,116820.0
31,2,6,49680.0
31,2,7,242066.0
32,2,7,57605.0
33,2,7,109186.0
34,2,7,221544.0
35,2,7,148168.0
36,2,8,124596.0
37,2,7,29931.0
37,2,8,54099.0
38,2,8,83569.0
39,1,8,301000.0
40,2,8,94674.0
41,2,9,261466.0
42,2,8,150562.0
43,2,9,225696.0
44,2,9,111537.0
45,2,9,23725.0
46,2,9,186076.0
47,2,10,243520.0
48,2,10,251175.0
49,2,10,146634.0
50,2,10,167171.0
