Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,256000.0
1,1,0,244000.0
2,1,0,256000.0
4,1,1,256000.0
5,1,1,256000.0
7,2,1,244000.0
9,1,2,256000.0
10,1,2,256000.0
11,1,2,244000.0
13,1,3,244000.0
14,1,3,256000.0
15,1,3,256000.0
19,1,4,256000.0
21,1,4,223758.0
22,2,4,276242.0
23,1,5,256000.0
25,1,5,256000.0
26,1,5,244000.0
28,1,6,244000.0
29,1,6,256000.0
30,1,6,256000.0
31,2,7,154799.0
32,2,7,181006.0
33,2,7,178790.0
34,2,7,241405.0
36,2,8,130688.0
38,2,8,289479.0
39,1,8,170000.0
40,2,8,165833.0
40,2,9,14203.0
41,2,9,123917.0
42,2,9,89143.0
43,2,9,221557.0
44,2,9,159916.91044260038
45,2,9,147263.0895573996
47,2,10,297654.0
48,2,10,131853.0
49,2,10,247251.0
50,2,10,79242.0
