Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,235000.0
1,1,0,235000.0
2,1,0,235000.0
3,2,0,86000.0
4,1,1,235000.0
5,1,1,235000.0
6,1,1,235000.0
7,1,1,86000.0
9,1,2,235000.0
10,1,2,235000.0
11,1,2,235000.0
12,1,2,86000.0
13,1,3,235000.0
14,1,3,235000.0
15,1,3,86000.0
16,1,3,235000.0
19,1,4,235000.0
20,2,4,247645.0
21,1,4,73355.0
22,1,4,235000.0
23,1,5,235000.0
24,1,5,235000.0
25,2,5,86000.0
26,1,5,235000.0
27,1,6,153620.0
28,1,6,235000.0
29,1,6,235000.0
30,1,8,235000.0
31,2,6,167380.0
32,2,7,131094.0
33,2,7,150215.0
34,2,7,120245.0
35,2,7,79282.0
36,2,7,199703.0
37,1,8,118000.0
38,2,7,110461.0
38,2,8,89636.0
39,2,8,101178.0
40,2,8,247186.0
41,2,9,157824.0
42,2,9,271326.0
43,1,9,71000.0
44,2,9,79045.0
45,2,9,211805.0
46,1,10,71000.0
47,2,10,129100.0
48,2,10,205878.0
49,2,10,188800.0
50,2,10,196222.0
