Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,287000.0
1,1,0,210000.0
2,1,0,287000.0
4,1,1,287000.0
6,1,1,287000.0
7,1,1,210000.0
10,1,2,287000.0
11,1,2,210000.0
12,1,2,287000.0
13,1,3,287000.0
15,1,3,287000.0
16,1,3,210000.0
19,1,4,287000.0
21,1,4,210000.0
22,1,4,287000.0
23,1,5,287000.0
24,1,5,287000.0
26,1,5,210000.0
27,1,6,107887.0
28,1,6,287000.0
29,1,6,287000.0
30,1,8,287000.0
31,2,6,102113.0
32,2,7,261243.0
33,2,7,254946.0
36,2,7,267811.0
37,1,8,150530.0
39,2,8,220094.0
40,2,8,126376.0
42,2,9,148442.0
43,1,9,122108.0
45,2,9,236761.0
46,1,10,205490.0
47,2,10,244610.0
48,2,9,276689.0
49,2,10,219552.0
50,2,10,114348.0
