Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,245000.0
1,1,0,245000.0
2,1,0,245000.0
3,1,0,28000.0
4,1,1,245000.0
5,1,1,245000.0
6,1,1,50151.0
7,2,1,222849.0
8,1,2,28000.0
9,1,2,245000.0
10,1,2,245000.0
11,1,2,245000.0
13,1,3,28000.0
14,1,3,245000.0
15,1,3,245000.0
16,1,3,245000.0
19,1,4,245000.0
20,1,4,113290.0
21,1,4,245000.0
22,2,4,159710.0
23,1,5,28000.0
24,1,5,245000.0
25,1,5,245000.0
26,1,5,245000.0
28,1,6,245000.0
29,1,6,245000.0
30,1,6,245000.0
31,2,6,28000.0
31,2,7,61915.0
32,2,7,120298.0
33,2,7,151402.0
34,2,7,132584.0
35,2,7,259775.0
36,2,8,179721.0
37,2,7,37026.0
37,2,8,239429.0
38,2,8,184561.0
39,1,8,122000.0
40,2,9,260871.0
41,2,9,138975.0
42,2,8,37289.0
42,2,9,33937.0
43,2,9,73238.0
44,2,9,160781.0
45,2,10,239195.0
46,2,9,95198.0
46,2,10,59381.0
47,2,10,110123.0
48,2,10,59813.0
49,2,10,112284.0
50,2,10,182204.0
