Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,223000.0
1,1,0,223000.0
2,1,0,223000.0
3,1,0,136000.0
4,1,1,223000.0
5,1,1,223000.0
6,1,1,223000.0
7,2,1,136000.0
8,1,2,223000.0
9,1,2,223000.0
10,1,2,223000.0
11,1,2,136000.0
13,1,3,223000.0
14,1,3,223000.0
15,1,3,136000.0
16,1,3,223000.0
19,1,4,111202.0
20,1,4,223000.0
21,1,4,223000.0
22,2,4,247798.0
23,1,5,136000.0
24,1,5,223000.0
25,1,5,223000.0
26,1,5,223000.0
28,1,6,223000.0
29,1,6,223000.0
30,1,6,223000.0
31,2,6,136000.0
31,2,7,72681.0
32,2,7,234497.0
33,2,7,197796.0
34,2,7,199458.0
35,2,7,88449.0
36,2,8,63458.0
37,2,7,12119.0
37,2,8,162255.0
38,2,8,123383.0
39,1,8,103000.0
40,2,8,194037.0
41,2,9,75307.0
42,2,8,158867.0
42,2,9,8726.0
43,2,9,84227.0
44,2,9,259620.0
45,2,9,85562.0
45,2,10,25507.0
46,2,9,291558.0
47,2,10,266040.0
48,2,10,198662.0
49,2,10,193744.0
50,2,10,121047.0
